Entity,Code,Day,Monthly concentration of atmospheric carbon dioxide,Rolling yearly average of the concentration of atmospheric carbon dioxide
World,OWID_WRL,1988-02-15,351.47,349.16583
World,OWID_WRL,1988-03-15,351.85,349.37918
World,OWID_WRL,1988-04-15,352.3,349.5725
World,OWID_WRL,1988-05-15,352.46,349.75583
World,OWID_WRL,1988-06-15,351.76,349.94583
World,OWID_WRL,1988-07-15,350.28,350.1475
World,OWID_WRL,1988-08-15,349.1,350.355
World,OWID_WRL,1988-09-15,349.27,350.56915
World,OWID_WRL,1988-10-15,350.44,350.775
World,OWID_WRL,1988-11-15,351.61,350.97168
World,OWID_WRL,1988-12-15,352.46,351.15918
World,OWID_WRL,1989-01-15,353.01,351.33417
World,OWID_WRL,1989-02-15,353.46,351.5
World,OWID_WRL,1989-03-15,354.01,351.68
World,OWID_WRL,1989-04-15,354.38,351.85333
World,OWID_WRL,1989-05-15,354.19,351.9975
World,OWID_WRL,1989-06-15,353.27,352.12332
World,OWID_WRL,1989-07-15,351.56,352.23
World,OWID_WRL,1989-08-15,350.21,352.3225
World,OWID_WRL,1989-09-15,350.56,352.43
World,OWID_WRL,1989-10-15,351.85,352.5475
World,OWID_WRL,1989-11-15,353.04,352.66666
World,OWID_WRL,1989-12-15,353.91,352.7875
World,OWID_WRL,1990-01-15,354.47,352.90918
World,OWID_WRL,1990-02-15,354.87,353.02667
World,OWID_WRL,1990-03-15,355.2,353.12582
World,OWID_WRL,1990-04-15,355.51,353.22
World,OWID_WRL,1990-05-15,355.4,353.32083
World,OWID_WRL,1990-06-15,354.32,353.40833
World,OWID_WRL,1990-07-15,352.71,353.50418
World,OWID_WRL,1990-08-15,351.59,353.61917
World,OWID_WRL,1990-09-15,351.79,353.72168
World,OWID_WRL,1990-10-15,353.19,353.83334
World,OWID_WRL,1990-11-15,354.45,353.95084
World,OWID_WRL,1990-12-15,355.19,354.0575
World,OWID_WRL,1991-01-15,355.76,354.165
World,OWID_WRL,1991-02-15,356.19,354.275
World,OWID_WRL,1991-03-15,356.68,354.39835
World,OWID_WRL,1991-04-15,357.19,354.53833
World,OWID_WRL,1991-05-15,357.11,354.68085
World,OWID_WRL,1991-06-15,356.17,354.835
World,OWID_WRL,1991-07-15,354.53,354.98666
World,OWID_WRL,1991-08-15,353.05,355.10834
World,OWID_WRL,1991-09-15,352.93,355.20334
World,OWID_WRL,1991-10-15,354,355.27084
World,OWID_WRL,1991-11-15,355.16,355.33
World,OWID_WRL,1991-12-15,355.95,355.39334
World,OWID_WRL,1992-01-15,356.54,355.45834
World,OWID_WRL,1992-02-15,356.89,355.51666
World,OWID_WRL,1992-03-15,357.26,355.565
World,OWID_WRL,1992-04-15,357.75,355.61166
World,OWID_WRL,1992-05-15,357.82,355.67084
World,OWID_WRL,1992-06-15,356.87,355.72916
World,OWID_WRL,1992-07-15,355.18,355.78333
World,OWID_WRL,1992-08-15,353.66,355.83417
World,OWID_WRL,1992-09-15,353.57,355.8875
World,OWID_WRL,1992-10-15,354.81,355.95502
World,OWID_WRL,1992-11-15,355.99,356.02417
World,OWID_WRL,1992-12-15,356.74,356.09
World,OWID_WRL,1993-01-15,357.21,356.14584
World,OWID_WRL,1993-02-15,357.55,356.20084
World,OWID_WRL,1993-03-15,357.96,356.25916
World,OWID_WRL,1993-04-15,358.43,356.31583
World,OWID_WRL,1993-05-15,358.38,356.3625
World,OWID_WRL,1993-06-15,357.34,356.40167
World,OWID_WRL,1993-07-15,355.72,356.44666
World,OWID_WRL,1993-08-15,354.44,356.51166
World,OWID_WRL,1993-09-15,354.47,356.58667
World,OWID_WRL,1993-10-15,355.71,356.66165
World,OWID_WRL,1993-11-15,356.95,356.74167
World,OWID_WRL,1993-12-15,357.86,356.835
World,OWID_WRL,1994-01-15,358.48,356.94083
World,OWID_WRL,1994-02-15,359,357.06168
World,OWID_WRL,1994-03-15,359.36,357.17834
World,OWID_WRL,1994-04-15,359.71,357.285
World,OWID_WRL,1994-05-15,359.74,357.39832
World,OWID_WRL,1994-06-15,358.8,357.52
World,OWID_WRL,1994-07-15,357.27,357.64917
World,OWID_WRL,1994-08-15,356.06,357.78415
World,OWID_WRL,1994-09-15,356.02,357.91333
World,OWID_WRL,1994-10-15,357.27,358.04333
World,OWID_WRL,1994-11-15,358.69,358.18832
World,OWID_WRL,1994-12-15,359.55,358.32916
World,OWID_WRL,1995-01-15,360.13,358.46667
World,OWID_WRL,1995-02-15,360.61,358.60083
World,OWID_WRL,1995-03-15,361.08,358.74417
World,OWID_WRL,1995-04-15,361.55,358.8975
World,OWID_WRL,1995-05-15,361.47,359.04166
World,OWID_WRL,1995-06-15,360.61,359.1925
World,OWID_WRL,1995-07-15,358.99,359.33582
World,OWID_WRL,1995-08-15,357.73,359.475
World,OWID_WRL,1995-09-15,358.05,359.64417
World,OWID_WRL,1995-10-15,359.42,359.82333
World,OWID_WRL,1995-11-15,360.77,359.99667
World,OWID_WRL,1995-12-15,361.65,360.17166
World,OWID_WRL,1996-01-15,362.14,360.33917
World,OWID_WRL,1996-02-15,362.5,360.49667
World,OWID_WRL,1996-03-15,362.82,360.64166
World,OWID_WRL,1996-04-15,363.14,360.77417
World,OWID_WRL,1996-05-15,363.29,360.92584
World,OWID_WRL,1996-06-15,362.88,361.115
World,OWID_WRL,1996-07-15,361.57,361.33002
World,OWID_WRL,1996-08-15,360.07,361.525
World,OWID_WRL,1996-09-15,359.7,361.6625
World,OWID_WRL,1996-10-15,360.67,361.76666
World,OWID_WRL,1996-11-15,361.78,361.85083
World,OWID_WRL,1996-12-15,362.63,361.9325
World,OWID_WRL,1997-01-15,363.28,362.0275
World,OWID_WRL,1997-02-15,363.63,362.12167
World,OWID_WRL,1997-03-15,364.02,362.22168
World,OWID_WRL,1997-04-15,364.5,362.335
World,OWID_WRL,1997-05-15,364.51,362.43668
World,OWID_WRL,1997-06-15,363.6,362.49667
World,OWID_WRL,1997-07-15,361.93,362.52667
World,OWID_WRL,1997-08-15,360.41,362.555
World,OWID_WRL,1997-09-15,360.4,362.61334
World,OWID_WRL,1997-10-15,361.94,362.71918
World,OWID_WRL,1997-11-15,363.61,362.87167
World,OWID_WRL,1997-12-15,364.68,363.0425
World,OWID_WRL,1998-01-15,365.19,363.20166
World,OWID_WRL,1998-02-15,365.46,363.35416
World,OWID_WRL,1998-03-15,365.93,363.51334
World,OWID_WRL,1998-04-15,366.58,363.68668
World,OWID_WRL,1998-05-15,366.86,363.8825
World,OWID_WRL,1998-06-15,366.26,364.10416
World,OWID_WRL,1998-07-15,364.84,364.34665
World,OWID_WRL,1998-08-15,363.79,364.62833
World,OWID_WRL,1998-09-15,364.03,364.93082
World,OWID_WRL,1998-10-15,365.34,365.21417
World,OWID_WRL,1998-11-15,366.6,365.46332
World,OWID_WRL,1998-12-15,367.47,365.69583
World,OWID_WRL,1999-01-15,368.11,365.93915
World,OWID_WRL,1999-02-15,368.51,366.19333
World,OWID_WRL,1999-03-15,368.91,366.44165
World,OWID_WRL,1999-04-15,369.29,366.6675
World,OWID_WRL,1999-05-15,369.21,366.86334
World,OWID_WRL,1999-06-15,368.36,367.03833
World,OWID_WRL,1999-07-15,366.69,367.1925
World,OWID_WRL,1999-08-15,365.33,367.32083
World,OWID_WRL,1999-09-15,365.45,367.43918
World,OWID_WRL,1999-10-15,366.75,367.55667
World,OWID_WRL,1999-11-15,368.04,367.67667
World,OWID_WRL,1999-12-15,368.88,367.79416
World,OWID_WRL,2000-01-15,369.39,367.90085
World,OWID_WRL,2000-02-15,369.65,367.99585
World,OWID_WRL,2000-03-15,369.97,368.08417
World,OWID_WRL,2000-04-15,370.35,368.1725
World,OWID_WRL,2000-05-15,370.24,368.25833
World,OWID_WRL,2000-06-15,369.31,368.3375
World,OWID_WRL,2000-07-15,367.91,368.43918
World,OWID_WRL,2000-08-15,366.76,368.55835
World,OWID_WRL,2000-09-15,366.71,368.66333
World,OWID_WRL,2000-10-15,367.91,368.76
World,OWID_WRL,2000-11-15,369.28,368.86334
World,OWID_WRL,2000-12-15,370.1,368.965
World,OWID_WRL,2001-01-15,370.69,369.07333
World,OWID_WRL,2001-02-15,371.18,369.20084
World,OWID_WRL,2001-03-15,371.59,369.33585
World,OWID_WRL,2001-04-15,371.9,369.465
World,OWID_WRL,2001-05-15,371.76,369.59167
World,OWID_WRL,2001-06-15,370.81,369.71667
World,OWID_WRL,2001-07-15,369.45,369.845
World,OWID_WRL,2001-08-15,368.32,369.975
World,OWID_WRL,2001-09-15,368.36,370.1125
World,OWID_WRL,2001-10-15,369.71,370.2625
World,OWID_WRL,2001-11-15,371.05,370.41
World,OWID_WRL,2001-12-15,371.97,370.56583
World,OWID_WRL,2002-01-15,372.51,370.7175
World,OWID_WRL,2002-02-15,372.91,370.86166
World,OWID_WRL,2002-03-15,373.38,371.01083
World,OWID_WRL,2002-04-15,373.73,371.16333
World,OWID_WRL,2002-05-15,373.71,371.32584
World,OWID_WRL,2002-06-15,372.84,371.495
World,OWID_WRL,2002-07-15,371.41,371.65833
World,OWID_WRL,2002-08-15,370.35,371.8275
World,OWID_WRL,2002-09-15,370.67,372.02
World,OWID_WRL,2002-10-15,371.95,372.20667
World,OWID_WRL,2002-11-15,373.28,372.39252
World,OWID_WRL,2002-12-15,374.26,372.58334
World,OWID_WRL,2003-01-15,374.94,372.78583
World,OWID_WRL,2003-02-15,375.47,372.99918
World,OWID_WRL,2003-03-15,375.91,373.21
World,OWID_WRL,2003-04-15,376.39,373.43167
World,OWID_WRL,2003-05-15,376.55,373.66833
World,OWID_WRL,2003-06-15,375.71,373.9075
World,OWID_WRL,2003-07-15,374.16,374.13666
World,OWID_WRL,2003-08-15,372.93,374.35168
World,OWID_WRL,2003-09-15,373.09,374.55334
World,OWID_WRL,2003-10-15,374.36,374.75415
World,OWID_WRL,2003-11-15,375.66,374.9525
World,OWID_WRL,2003-12-15,376.52,375.14084
World,OWID_WRL,2004-01-15,377.21,375.33
World,OWID_WRL,2004-02-15,377.73,375.51834
World,OWID_WRL,2004-03-15,378.16,375.70584
World,OWID_WRL,2004-04-15,378.47,375.87915
World,OWID_WRL,2004-05-15,378.4,376.03333
World,OWID_WRL,2004-06-15,377.51,376.18332
World,OWID_WRL,2004-07-15,375.96,376.33334
World,OWID_WRL,2004-08-15,374.49,376.46332
World,OWID_WRL,2004-09-15,374.39,376.57166
World,OWID_WRL,2004-10-15,375.73,376.68582
World,OWID_WRL,2004-11-15,377.2,376.81418
World,OWID_WRL,2004-12-15,378.17,376.95166
World,OWID_WRL,2005-01-15,378.73,377.07834
World,OWID_WRL,2005-02-15,379.27,377.20667
World,OWID_WRL,2005-03-15,379.87,377.34918
World,OWID_WRL,2005-04-15,380.32,377.50333
World,OWID_WRL,2005-05-15,380.42,377.67166
World,OWID_WRL,2005-06-15,379.6,377.84583
World,OWID_WRL,2005-07-15,377.94,378.01083
World,OWID_WRL,2005-08-15,376.73,378.1975
World,OWID_WRL,2005-09-15,376.76,378.39502
World,OWID_WRL,2005-10-15,378.07,378.59
World,OWID_WRL,2005-11-15,379.53,378.78418
World,OWID_WRL,2005-12-15,380.53,378.98083
World,OWID_WRL,2006-01-15,381.33,379.1975
World,OWID_WRL,2006-02-15,381.95,379.42084
World,OWID_WRL,2006-03-15,382.34,379.62668
World,OWID_WRL,2006-04-15,382.67,379.8225
World,OWID_WRL,2006-05-15,382.63,380.00668
World,OWID_WRL,2006-06-15,381.76,380.18668
World,OWID_WRL,2006-07-15,380.07,380.36417
World,OWID_WRL,2006-08-15,378.49,380.51083
World,OWID_WRL,2006-09-15,378.63,380.66666
World,OWID_WRL,2006-10-15,380.08,380.83417
World,OWID_WRL,2006-11-15,381.44,380.99335
World,OWID_WRL,2006-12-15,382.39,381.14835
World,OWID_WRL,2007-01-15,383.03,381.29
World,OWID_WRL,2007-02-15,383.55,381.42334
World,OWID_WRL,2007-03-15,384.02,381.56332
World,OWID_WRL,2007-04-15,384.28,381.6975
World,OWID_WRL,2007-05-15,384.13,381.8225
World,OWID_WRL,2007-06-15,383.26,381.9475
World,OWID_WRL,2007-07-15,381.55,382.07083
World,OWID_WRL,2007-08-15,380.29,382.22083
World,OWID_WRL,2007-09-15,380.68,382.39166
World,OWID_WRL,2007-10-15,382.1,382.56
World,OWID_WRL,2007-11-15,383.45,382.7275
World,OWID_WRL,2007-12-15,384.46,382.9
World,OWID_WRL,2008-01-15,385.23,383.08334
World,OWID_WRL,2008-02-15,385.74,383.26584
World,OWID_WRL,2008-03-15,386.15,383.44333
World,OWID_WRL,2008-04-15,386.53,383.63083
World,OWID_WRL,2008-05-15,386.49,383.8275
World,OWID_WRL,2008-06-15,385.58,384.02084
World,OWID_WRL,2008-07-15,384.1,384.23334
World,OWID_WRL,2008-08-15,382.77,384.44
World,OWID_WRL,2008-09-15,382.54,384.595
World,OWID_WRL,2008-10-15,383.67,384.72583
World,OWID_WRL,2008-11-15,385.18,384.87
World,OWID_WRL,2008-12-15,386.27,385.02084
World,OWID_WRL,2009-01-15,387.03,385.17084
World,OWID_WRL,2009-02-15,387.48,385.31583
World,OWID_WRL,2009-03-15,387.71,385.44583
World,OWID_WRL,2009-04-15,387.99,385.5675
World,OWID_WRL,2009-05-15,387.95,385.68918
World,OWID_WRL,2009-06-15,386.96,385.80417
World,OWID_WRL,2009-07-15,385.01,385.88
World,OWID_WRL,2009-08-15,383.63,385.95166
World,OWID_WRL,2009-09-15,383.93,386.0675
World,OWID_WRL,2009-10-15,385.49,386.21918
World,OWID_WRL,2009-11-15,386.94,386.36584
World,OWID_WRL,2009-12-15,387.84,386.49667
World,OWID_WRL,2010-01-15,388.62,386.62915
World,OWID_WRL,2010-02-15,389.33,386.78333
World,OWID_WRL,2010-03-15,389.68,386.9475
World,OWID_WRL,2010-04-15,389.98,387.11334
World,OWID_WRL,2010-05-15,389.95,387.28
World,OWID_WRL,2010-06-15,389.01,387.45084
World,OWID_WRL,2010-07-15,387.35,387.64584
World,OWID_WRL,2010-08-15,386.23,387.8625
World,OWID_WRL,2010-09-15,386.7,388.09332
World,OWID_WRL,2010-10-15,388.25,388.32333
World,OWID_WRL,2010-11-15,389.61,388.54584
World,OWID_WRL,2010-12-15,390.34,388.75418
World,OWID_WRL,2011-01-15,390.85,388.94
World,OWID_WRL,2011-02-15,391.29,389.10333
World,OWID_WRL,2011-03-15,391.66,389.26834
World,OWID_WRL,2011-04-15,392.05,389.44083
World,OWID_WRL,2011-05-15,392.08,389.61835
World,OWID_WRL,2011-06-15,391.14,389.79584
World,OWID_WRL,2011-07-15,389.2,389.95
World,OWID_WRL,2011-08-15,387.87,390.08667
World,OWID_WRL,2011-09-15,388.27,390.2175
World,OWID_WRL,2011-10-15,389.83,390.34915
World,OWID_WRL,2011-11-15,391.19,390.48083
World,OWID_WRL,2011-12-15,392.02,390.62082
World,OWID_WRL,2012-01-15,392.61,390.7675
World,OWID_WRL,2012-02-15,393.2,390.92667
World,OWID_WRL,2012-03-15,393.72,391.09833
World,OWID_WRL,2012-04-15,393.99,391.26
World,OWID_WRL,2012-05-15,393.88,391.41
World,OWID_WRL,2012-06-15,392.84,391.55167
World,OWID_WRL,2012-07-15,391,391.70166
World,OWID_WRL,2012-08-15,389.89,391.87
World,OWID_WRL,2012-09-15,390.55,392.06
World,OWID_WRL,2012-10-15,392.16,392.25415
World,OWID_WRL,2012-11-15,393.56,392.45166
World,OWID_WRL,2012-12-15,394.39,392.64917
World,OWID_WRL,2013-01-15,395.07,392.85416
World,OWID_WRL,2013-02-15,395.69,393.06168
World,OWID_WRL,2013-03-15,396.29,393.27585
World,OWID_WRL,2013-04-15,396.74,393.505
World,OWID_WRL,2013-05-15,396.75,393.74417
World,OWID_WRL,2013-06-15,395.96,394.00418
World,OWID_WRL,2013-07-15,394.47,394.29333
World,OWID_WRL,2013-08-15,393.23,394.57166
World,OWID_WRL,2013-09-15,393.21,394.79333
World,OWID_WRL,2013-10-15,394.51,394.98917
World,OWID_WRL,2013-11-15,395.96,395.18918
World,OWID_WRL,2013-12-15,396.88,395.39667
World,OWID_WRL,2014-01-15,397.51,395.6
World,OWID_WRL,2014-02-15,397.97,395.79
World,OWID_WRL,2014-03-15,398.27,395.955
World,OWID_WRL,2014-04-15,398.63,396.1125
World,OWID_WRL,2014-05-15,398.69,396.27417
World,OWID_WRL,2014-06-15,397.72,396.42084
World,OWID_WRL,2014-07-15,396.13,396.55917
World,OWID_WRL,2014-08-15,395.02,396.70834
World,OWID_WRL,2014-09-15,395.12,396.8675
World,OWID_WRL,2014-10-15,396.38,397.02335
World,OWID_WRL,2014-11-15,397.86,397.18167
World,OWID_WRL,2014-12-15,398.83,397.34418
World,OWID_WRL,2015-01-15,399.56,397.51498
World,OWID_WRL,2015-02-15,400.12,397.69415
World,OWID_WRL,2015-03-15,400.57,397.88583
World,OWID_WRL,2015-04-15,400.96,398.08
World,OWID_WRL,2015-05-15,400.91,398.26498
World,OWID_WRL,2015-06-15,400.06,398.46
World,OWID_WRL,2015-07-15,398.38,398.6475
World,OWID_WRL,2015-08-15,397.07,398.81833
World,OWID_WRL,2015-09-15,397.34,399.00333
World,OWID_WRL,2015-10-15,398.8,399.205
World,OWID_WRL,2015-11-15,400.36,399.41333
World,OWID_WRL,2015-12-15,401.66,399.64917
World,OWID_WRL,2016-01-15,402.62,399.90417
World,OWID_WRL,2016-02-15,403.26,400.16583
World,OWID_WRL,2016-03-15,403.85,400.43918
World,OWID_WRL,2016-04-15,404.36,400.7225
World,OWID_WRL,2016-05-15,404.4,401.01334
World,OWID_WRL,2016-06-15,403.62,401.31
World,OWID_WRL,2016-07-15,402.1,401.62
World,OWID_WRL,2016-08-15,400.78,401.92917
World,OWID_WRL,2016-09-15,400.96,402.23083
World,OWID_WRL,2016-10-15,402.41,402.53168
World,OWID_WRL,2016-11-15,403.76,402.815
World,OWID_WRL,2016-12-15,404.67,403.06583
World,OWID_WRL,2017-01-15,405.33,403.29166
World,OWID_WRL,2017-02-15,405.91,403.5125
World,OWID_WRL,2017-03-15,406.32,403.71832
World,OWID_WRL,2017-04-15,406.6,403.905
World,OWID_WRL,2017-05-15,406.64,404.09167
World,OWID_WRL,2017-06-15,405.85,404.2775
World,OWID_WRL,2017-07-15,404.11,404.445
World,OWID_WRL,2017-08-15,402.57,404.59418
World,OWID_WRL,2017-09-15,402.66,404.73584
World,OWID_WRL,2017-10-15,404.16,404.88168
World,OWID_WRL,2017-11-15,405.7,405.04333
World,OWID_WRL,2017-12-15,406.75,405.21667
World,OWID_WRL,2018-01-15,407.53,405.4
World,OWID_WRL,2018-02-15,408.23,405.59332
World,OWID_WRL,2018-03-15,408.77,405.79752
World,OWID_WRL,2018-04-15,409.07,406.00333
World,OWID_WRL,2018-05-15,408.93,406.19415
World,OWID_WRL,2018-06-15,408.06,406.37833
World,OWID_WRL,2018-07-15,406.49,406.57666
World,OWID_WRL,2018-08-15,405.11,406.78833
World,OWID_WRL,2018-09-15,405.18,406.99832
World,OWID_WRL,2018-10-15,406.65,407.20584
World,OWID_WRL,2018-11-15,408.12,407.4075
World,OWID_WRL,2018-12-15,409.19,407.61084
World,OWID_WRL,2019-01-15,409.92,407.81
World,OWID_WRL,2019-02-15,410.34,407.98584
World,OWID_WRL,2019-03-15,410.89,408.1625
World,OWID_WRL,2019-04-15,411.33,408.35083
World,OWID_WRL,2019-05-15,411.34,408.55167
World,OWID_WRL,2019-06-15,410.53,408.7575
World,OWID_WRL,2019-07-15,408.88,408.95667
World,OWID_WRL,2019-08-15,407.64,409.1675
World,OWID_WRL,2019-09-15,407.92,409.39584
World,OWID_WRL,2019-10-15,409.44,409.62833
World,OWID_WRL,2019-11-15,410.87,409.8575
World,OWID_WRL,2019-12-15,411.76,410.07166
World,OWID_WRL,2020-01-15,412.43,410.28082
World,OWID_WRL,2020-02-15,412.95,410.49835
World,OWID_WRL,2020-03-15,413.44,410.71085
World,OWID_WRL,2020-04-15,413.86,410.92166
World,OWID_WRL,2020-05-15,413.81,411.1275
World,OWID_WRL,2020-06-15,412.88,411.32333
World,OWID_WRL,2020-07-15,411.17,411.51416
World,OWID_WRL,2020-08-15,409.73,411.68832
World,OWID_WRL,2020-09-15,410,411.86166
World,OWID_WRL,2020-10-15,411.66,412.04666
World,OWID_WRL,2020-11-15,413.25,412.245
World,OWID_WRL,2020-12-15,414.14,412.44333
World,OWID_WRL,2021-01-15,414.73,412.635
World,OWID_WRL,2021-02-15,415.2,412.8225
World,OWID_WRL,2021-03-15,415.49,412.99335
World,OWID_WRL,2021-04-15,415.81,413.15582
World,OWID_WRL,2021-05-15,416.01,413.33917
World,OWID_WRL,2021-06-15,415.2,413.5325
World,OWID_WRL,2021-07-15,413.45,413.7225
World,OWID_WRL,2021-08-15,412.15,413.92416
World,OWID_WRL,2021-09-15,412.38,414.1225
World,OWID_WRL,2021-10-15,413.83,414.30334
World,OWID_WRL,2021-11-15,415.58,414.4975
World,OWID_WRL,2021-12-15,416.6,414.7025
World,OWID_WRL,2022-01-15,417.18,414.90668
World,OWID_WRL,2022-02-15,417.64,415.11
World,OWID_WRL,2022-03-15,418.16,415.3325
World,OWID_WRL,2022-04-15,418.58,415.56332
World,OWID_WRL,2022-05-15,418.45,415.76666
World,OWID_WRL,2022-06-15,417.43,415.9525
World,OWID_WRL,2022-07-15,415.67,416.1375
World,OWID_WRL,2022-08-15,414.4,416.325
World,OWID_WRL,2022-09-15,414.62,416.51166
World,OWID_WRL,2022-10-15,416.13,416.70334
World,OWID_WRL,2022-11-15,417.84,416.89166
World,OWID_WRL,2022-12-15,418.92,417.085
World,OWID_WRL,2023-01-15,419.37,417.26752
World,OWID_WRL,2023-02-15,419.65,417.435
World,OWID_WRL,2023-03-15,419.99,417.5875
World,OWID_WRL,2023-04-15,420.49,417.74667
World,OWID_WRL,2023-05-15,420.55,417.92166
World,OWID_WRL,2023-06-15,419.57,418.1
World,OWID_WRL,2023-07-15,417.92,418.2875
World,OWID_WRL,2023-08-15,416.76,418.48416
World,OWID_WRL,2023-09-15,417.15,418.695
World,OWID_WRL,2023-10-15,418.83,418.91998
World,OWID_WRL,2023-11-15,420.39,419.1325
